timestamp,temperature
2020-04-26 03:02:43.136137,59.1
2020-04-26 03:02:44.151004,58.5
2020-04-26 03:02:45.166150,59.1
2020-04-26 03:02:46.181136,59.1
2020-04-26 03:02:47.196528,58.0
2020-04-26 03:02:48.212155,58.5
2020-04-26 03:02:49.227142,59.1
2020-04-26 03:02:50.242952,58.0
2020-04-26 03:02:51.258003,59.1
2020-04-26 03:02:52.282186,59.1
2020-04-26 03:02:53.297258,58.5
2020-04-26 03:02:54.312601,58.0
2020-04-26 03:02:55.327532,58.5
2020-04-26 03:02:56.342897,59.1
2020-04-26 03:02:57.367175,59.1
2020-04-26 03:02:58.382179,59.1
2020-04-26 03:02:59.397288,58.5
2020-04-26 03:03:00.412502,58.5
2020-04-26 03:03:01.427530,59.1
2020-04-26 03:03:02.451789,58.5
2020-04-26 03:03:03.466724,58.5
2020-04-26 03:03:04.482231,58.5
2020-04-26 03:03:05.497265,58.5
2020-04-26 03:03:06.512644,58.5
2020-04-26 03:03:07.537008,58.5
2020-04-26 03:03:08.552071,58.5
2020-04-26 03:03:09.567322,58.5
2020-04-26 03:03:10.582325,58.0
2020-04-26 03:03:11.597184,58.5
2020-04-26 03:03:12.621239,59.1
2020-04-26 03:03:13.636185,59.1
2020-04-26 03:03:14.651944,59.1
2020-04-26 03:03:15.666831,58.5
2020-04-26 03:03:16.681887,58.5
2020-04-26 03:03:17.706735,58.5
2020-04-26 03:03:18.721771,59.1
2020-04-26 03:03:19.736698,59.1
2020-04-26 03:03:20.751827,59.1
2020-04-26 03:03:21.767047,58.5
2020-04-26 03:03:22.790899,59.1
2020-04-26 03:03:23.805886,58.5
2020-04-26 03:03:24.820879,59.6
2020-04-26 03:03:25.835866,59.1
2020-04-26 03:03:26.851038,59.1
2020-04-26 03:03:27.875102,59.1
2020-04-26 03:03:28.890651,58.5
2020-04-26 03:03:29.905504,59.1
2020-04-26 03:03:30.920659,58.5
2020-04-26 03:03:31.936373,59.1
2020-04-26 03:03:32.951885,59.1
2020-04-26 03:03:33.967319,59.1
2020-04-26 03:03:34.982675,59.1
2020-04-26 03:03:35.997813,59.6
2020-04-26 03:03:37.013367,59.1
2020-04-26 03:03:38.028837,58.5
2020-04-26 03:03:39.044161,58.5
2020-04-26 03:03:40.060357,59.1
2020-04-26 03:03:41.075654,59.1
2020-04-26 03:03:42.090490,59.1
2020-04-26 03:03:43.105471,58.5
2020-04-26 03:03:44.120284,59.1
2020-04-26 03:03:45.146024,59.1
2020-04-26 03:03:46.162233,59.1
2020-04-26 03:03:47.178244,59.1
2020-04-26 03:03:48.193193,59.1
2020-04-26 03:03:49.208237,58.5
2020-04-26 03:03:50.232599,58.5
